country;continent
Argentina;South America
Argentina;South America
Argentina;South America
Australia;Oceania
Belgium;Europe
Brazil;South America
Colombia;South America
Costa Rica;Central America
Croatia;Europe
Denmark;Europe
Egypt;Africa
England;Europe
France;Europe
Germany;Europe
Iceland;Europe
IR Iran;Asia
Japan;Asia
Korea Republic;Asia
Mexico;North America
Morocco;Africa
Nigeria;Africa
Panama;Central America
Peru;South America
Poland;Europe
Portugal;Europe
Russia;Europe
Saudi Arabia;Asia
Senegal;Africa
Serbia;Europe
Spain;Europe
Sweden;Europe
Switzerland;Europe
Tunisia;Africa
Uruguay;South America
